Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_13312_160_16384,Gemm_Hipblaslt_TN_88454,0.223885
GemmTunableOp_Half_TN,tn_13312_208_16384,Gemm_Hipblaslt_TN_88611,0.264925
GemmTunableOp_Half_TN,tn_13312_256_16384,Gemm_Hipblaslt_TN_90544,0.300468
GemmTunableOp_Half_TN,tn_1280_1024_8192,Gemm_Hipblaslt_TN_90720,0.0715197
GemmTunableOp_Half_TN,tn_1280_232_8192,Gemm_Rocblas_621282194,0.0355688
GemmTunableOp_Half_TN,tn_1280_192_8192,Gemm_Rocblas_621282192,0.0333234
GemmTunableOp_Half_TN,tn_1280_128_8192,Gemm_Rocblas_621282190,0.0275051
GemmTunableOp_Half_TN,tn_1280_96_8192,Gemm_Rocblas_621282190,0.0269266
GemmTunableOp_Half_TN,tn_8192_248_1024,Gemm_Rocblas_621282206,0.0243367
GemmTunableOp_Half_TN,tn_16032_240_8192,Gemm_Hipblaslt_TN_90809,0.160388
GemmTunableOp_Half_TN,tn_1280_160_8192,Gemm_Rocblas_621282190,0.0307688
GemmTunableOp_Half_TN,tn_8192_4096_1024,Gemm_Hipblaslt_TN_90473,0.14231
GemmTunableOp_Half_TN,tn_16032_168_8192,Gemm_Hipblaslt_TN_90785,0.145688
GemmTunableOp_Half_TN,tn_16032_112_8192,Gemm_Rocblas_621282235,0.101143
GemmTunableOp_Half_TN,tn_16032_32768_8192,Gemm_Rocblas_621282506,12.5541
GemmTunableOp_Half_TN,tn_16032_1_8192,Gemm_Rocblas_621282214,0.0616229
GemmTunableOp_Half_TN,tn_1280_184_8192,Gemm_Rocblas_621282194,0.033724
GemmTunableOp_Half_TN,tn_8192_8192_1024,Gemm_Hipblaslt_TN_90417,0.25103
GemmTunableOp_Half_TN,tn_1280_4096_8192,Gemm_Hipblaslt_TN_90251,0.174711
GemmTunableOp_Half_TN,tn_8192_208_1024,Gemm_Rocblas_621282262,0.0261369
GemmTunableOp_Half_TN,tn_8192_120_3584,Gemm_Rocblas_621282262,0.0377809
GemmTunableOp_Half_TN,tn_8192_256_1024,Gemm_Rocblas_621282206,0.0254627
GemmTunableOp_Half_TN,tn_7168_224_8192,Gemm_Hipblaslt_TN_90745,0.0843455
GemmTunableOp_Half_TN,tn_8192_88_3584,Gemm_Rocblas_621282195,0.0366435
GemmTunableOp_Half_TN,tn_8192_32_3584,Gemm_Rocblas_621282174,0.0248587
GemmTunableOp_Half_TN,tn_8192_40_3584,Gemm_Rocblas_621282226,0.028396
GemmTunableOp_Half_TN,tn_8192_56_3584,Gemm_Rocblas_621282266,0.0299868
GemmTunableOp_Half_TN,tn_16032_176_8192,Gemm_Hipblaslt_TN_90785,0.147516
GemmTunableOp_Half_TN,tn_8192_24_3584,Gemm_Rocblas_621282183,0.0253122
GemmTunableOp_Half_TN,tn_8192_224_3584,Gemm_Rocblas_621282235,0.0488017
GemmTunableOp_Half_TN,tn_16032_120_8192,Gemm_Rocblas_621282234,0.104077
GemmTunableOp_Half_TN,tn_8192_1_3584,Gemm_Rocblas_621282081,0.023181
GemmTunableOp_Half_TN,tn_7168_176_8192,Gemm_Hipblaslt_TN_90355,0.0753093
GemmTunableOp_Half_TN,tn_16032_8_8192,Gemm_Rocblas_621282214,0.062126
GemmTunableOp_Half_TN,tn_8192_184_3584,Gemm_Rocblas_621282236,0.044464
GemmTunableOp_Half_TN,tn_1280_240_8192,Gemm_Rocblas_621282194,0.0363295
GemmTunableOp_Half_TN,tn_8192_16_3584,Gemm_Rocblas_621282081,0.0232676
GemmTunableOp_Half_TN,tn_8192_8_3584,Gemm_Rocblas_621282081,0.0232211
GemmTunableOp_Half_TN,tn_8192_1024_3584,Gemm_Hipblaslt_TN_90407,0.119452
GemmTunableOp_Half_TN,tn_7168_1_8192,Gemm_Rocblas_621285089,0.0357494
GemmTunableOp_Half_TN,tn_8192_120_1024,Gemm_Rocblas_621282197,0.0205029
